0.0000e+00	9.4111e-01	9.6814e-01	9.6972e-01	9.7537e-01	9.3483e-01	9.3745e-01	8.4228e-01	8.8794e-01	9.2371e-01	9.4966e-01	9.8815e-01	9.6979e-01	8.8857e-01	9.0534e-01
1.2160e+00	8.7481e-01	8.7634e-01	9.0172e-01	8.9715e-01	8.9302e-01	8.7816e-01	7.8901e-01	7.3974e-01	8.0380e-01	8.7259e-01	8.8799e-01	8.7849e-01	8.5656e-01	8.2137e-01
2.4320e+00	8.1435e-01	8.0734e-01	8.4269e-01	8.3821e-01	8.5626e-01	8.2503e-01	7.3936e-01	6.2042e-01	7.0133e-01	8.0640e-01	8.0215e-01	8.0371e-01	8.2608e-01	7.4784e-01
3.6480e+00	7.5924e-01	7.5549e-01	7.9145e-01	7.9382e-01	8.2395e-01	7.7741e-01	6.9310e-01	5.2437e-01	6.1376e-01	7.4955e-01	7.2857e-01	7.4245e-01	7.9705e-01	6.8344e-01
4.8640e+00	7.0899e-01	7.1651e-01	7.4698e-01	7.6037e-01	7.9554e-01	7.3473e-01	6.4998e-01	4.4704e-01	5.3892e-01	7.0072e-01	6.6552e-01	6.9228e-01	7.6940e-01	6.2705e-01
6.0800e+00	6.6318e-01	6.8722e-01	7.0837e-01	7.3517e-01	7.7056e-01	6.9648e-01	6.0981e-01	3.8478e-01	4.7496e-01	6.5878e-01	6.1148e-01	6.5117e-01	7.4307e-01	5.7768e-01
7.2960e+00	6.2141e-01	6.6521e-01	6.7486e-01	7.1619e-01	7.4861e-01	6.6220e-01	5.7237e-01	3.3466e-01	4.2031e-01	6.2276e-01	5.6517e-01	6.1750e-01	7.1800e-01	5.3443e-01
8.5120e+00	5.8333e-01	6.4866e-01	6.4578e-01	7.0188e-01	7.2930e-01	6.3148e-01	5.3748e-01	2.9431e-01	3.7360e-01	5.9182e-01	5.2548e-01	5.8992e-01	6.9412e-01	4.9657e-01
9.7280e+00	5.4861e-01	6.3623e-01	6.2053e-01	6.9111e-01	7.1233e-01	6.0394e-01	5.0497e-01	2.6182e-01	3.3368e-01	5.6525e-01	4.9146e-01	5.6732e-01	6.7139e-01	4.6341e-01
1.0944e+01	5.1696e-01	6.2688e-01	5.9862e-01	6.8299e-01	6.9741e-01	5.7927e-01	4.7467e-01	2.3567e-01	2.9957e-01	5.4243e-01	4.6231e-01	5.4882e-01	6.4973e-01	4.3437e-01
1.2160e+01	4.8810e-01	6.1986e-01	5.7960e-01	6.7688e-01	6.8429e-01	5.5715e-01	4.4644e-01	2.1461e-01	2.7042e-01	5.2283e-01	4.3732e-01	5.3366e-01	6.2911e-01	4.0894e-01
1.3376e+01	4.6179e-01	6.1458e-01	5.6309e-01	6.7227e-01	6.7276e-01	5.3733e-01	4.2013e-01	1.9766e-01	2.4551e-01	5.0600e-01	4.1591e-01	5.2124e-01	6.0947e-01	3.8667e-01
1.4592e+01	4.3781e-01	6.1061e-01	5.4876e-01	6.6880e-01	6.6262e-01	5.1956e-01	3.9561e-01	1.8402e-01	2.2422e-01	4.9154e-01	3.9755e-01	5.1107e-01	5.9077e-01	3.6717e-01
1.5808e+01	4.1594e-01	6.0763e-01	5.3632e-01	6.6618e-01	6.5371e-01	5.0364e-01	3.7277e-01	1.7303e-01	2.0603e-01	4.7912e-01	3.8183e-01	5.0273e-01	5.7296e-01	3.5009e-01
1.7024e+01	3.9600e-01	6.0539e-01	5.2552e-01	6.6421e-01	6.4587e-01	4.8937e-01	3.5148e-01	1.6418e-01	1.9048e-01	4.6845e-01	3.6835e-01	4.9591e-01	5.5600e-01	3.3514e-01
1.8240e+01	3.7782e-01	6.0370e-01	5.1615e-01	6.6273e-01	6.3898e-01	4.7658e-01	3.3164e-01	1.5706e-01	1.7719e-01	4.5929e-01	3.5679e-01	4.9031e-01	5.3985e-01	3.2204e-01
1.9456e+01	3.6125e-01	6.0244e-01	5.0801e-01	6.6161e-01	6.3293e-01	4.6512e-01	3.1315e-01	1.5133e-01	1.6583e-01	4.5142e-01	3.4689e-01	4.8573e-01	5.2447e-01	3.1057e-01
2.0672e+01	3.4614e-01	6.0149e-01	5.0095e-01	6.6077e-01	6.2760e-01	4.5485e-01	2.9592e-01	1.4671e-01	1.5613e-01	4.4466e-01	3.3841e-01	4.8198e-01	5.0982e-01	3.0053e-01
2.1888e+01	3.3236e-01	6.0077e-01	4.9482e-01	6.6013e-01	6.2292e-01	4.4564e-01	2.7986e-01	1.4300e-01	1.4784e-01	4.3886e-01	3.3113e-01	4.7891e-01	4.9587e-01	2.9174e-01
2.3104e+01	3.1981e-01	6.0023e-01	4.8950e-01	6.5966e-01	6.1881e-01	4.3739e-01	2.6490e-01	1.4001e-01	1.4075e-01	4.3387e-01	3.2490e-01	4.7639e-01	4.8259e-01	2.8404e-01
2.4320e+01	3.0836e-01	5.9983e-01	4.8488e-01	6.5930e-01	6.1519e-01	4.3000e-01	2.5096e-01	1.3760e-01	1.3469e-01	4.2959e-01	3.1956e-01	4.7433e-01	4.6994e-01	2.7729e-01
2.5536e+01	2.9792e-01	5.9953e-01	4.8088e-01	6.5902e-01	6.1201e-01	4.2337e-01	2.3797e-01	1.3566e-01	1.2952e-01	4.2591e-01	3.1498e-01	4.7264e-01	4.5789e-01	2.7139e-01
2.6752e+01	2.8840e-01	5.9930e-01	4.7740e-01	6.5882e-01	6.0921e-01	4.1743e-01	2.2586e-01	1.3410e-01	1.2510e-01	4.2275e-01	3.1106e-01	4.7126e-01	4.4642e-01	2.6621e-01
